Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16819954,22.15035057,26.88882065,24.72448921,18.58456039,18.61813927,18.24297905,,17.22097015,15.71065044,16.10058022,18.09633064,,16.70269012,14.84482002,17.45105934,17.80999947,13.36244965,12.87915039,16.35899925,13.85986042,16.14246941,14.84473038,12.73071957,13.60200024
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,13.07098961,11.2389698,,,,,9.586009979,11.84342957,10.06579018,8.710269928,8.226819992,9.18062973,9.276000023,,,,,8.760890007,8.893429756,8.920740128,,,,,,,,,,5.302080154,9.182189941,9.726420403,,9.984600067,,11.44194984,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.92039013,13.22609997,,,18.60663033,22.83286095,,,15.1049099,12.84471035,10.29551983,11.3875103,,15.68694973,17.45413971,19.90500069,18.22500038,19.45199966,17.20700073,18.08600044,18.54899979,15.71000004,19.65399933,17.79999924
Botswana,,,,,,,,,,,,,,,,,,,,,,,,14.22157001,15.38490963,15.27449989,15.36186981,16.55583954,15.8807497,,16.36691093,,16.16987038,,,,,,,,,,,,,25.8235302,,26.50778961,,20.47739983,23.5510006,24.19499969,22.91200066,20.91300011,22.65999985,21.65800095,22.00399971,21.52099991,21.31999969,22.34199905,21.46500015,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14008045,9.923370361,,,,,,,,8.949319839,9.93076992,,9.214730263,12.02801991,12.0644598,9.680470467,10.05424023,9.869480133,7.860000134,7.841720104,6.475379944,7.825459957,10.61699963,8.083000183,9.387000084,8.387000084,7.318999767,8.895000458,9.135000229,9.798000336,9.781999588,9.088999748,10.74199963,9.994000435
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49846649,12.5725317,12.62090015,12.71314907,12.85791397,13.00229359,12.98900795,12.74459839,12.66294193,12.94046307,12.93418503,12.65248013,9.877542496,11.05468845,11.05468845,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.14680195,11.82121181,11.05704594,11.33913136,10.71168137,11.23140526,10.63011456,10.81541634,10.6200428,10.65031433,10.49886131,10.60550213,10.83948994,11.26752949,11.84270382,10.60445213,10.87690353,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19173145,15.42107201,15.23476887,15.22962379,15.28873444,15.17560768,15.34310436,15.3788662,15.06401539,15.25395203,15.38497066,15.35782146,15.359375,15.46289158,15.64546299,14.23840714,14.55084133,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5188303,14.13241959,15.02462006,15.75998974,14.5041399,15.1703701,15.65221977,16.42790985,,17.45059967,17.63722038,17.0210495,16.19908905,16.23127937,16.74641037,17.40113068,17.0356102,17.85330963,17.74757004,,19.67765045,19.92100906,19.59370995,21.15559959,21.31123924,21.36606979,21.23353004,19.35499954,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.496390343,9.323880196,8.415129662,14.29631519,13.51353168,13.55206871,13.07809544,14.40716839,13.31540489,12.75261116,12.25982952,12.26956177,12.15529537,11.45069027,11.22663689,10.53292751,10.85031796,10.50490284,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.22014999,18.81475067,21.67118073,20.80694962,23.20203018,22.59230042,22.6482296,22.10716057,21.84568977,20.01789093,20.75588036,21.52691078,22.18955994,22.77275085,22.42686081,20.85876083,21.57472992,21.76678085,21.17321968,22.38759995,20.63349915,18.28890038,19.84606934,18.59025002,16.26627922,15.90301037,12.84799957
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.68369961,15.73330975,,21.44202042,20.84712029,21.37760925,20.31266022,21.37933922,15.70061016,19.77979088,18.75388908,14.8677702,15.17621994,13.82495022,12.87975979,13.24398994,12.69468975,15.91281033,16.88315964,14.1789999,14.45100021,15.04800034,12.7670002,13.08300018
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.578499794,,,16.17473984,10.55391979,11.73836994,14.63541985,14.01852036,,,,21.61199951,18.40800095,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.41246986,14.70777988,,,14.12652969,,,,9.054849625,9.519949913,8.56180954,7.597819805,,,,,24.72777939,,9.321000099,14.72500038,6.555920124,7.950399876,12.85499954,15.68577003,15.58290005,17.93099976,18.28800011,17.87800026,16.63500023,15.74800014
